Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1996,.22,.37,.33,.49,.20,.28,.44,.77,.47,.39,.48,.39,.40,.39,.28,.34,.49,.44
1997,.29,.21,.29,.18,.27,.61,.28,.35,.55,.61,.71,.68,.42,.39,.30,.24,.41,.62
1998,.55,.72,.54,.40,.71,.81,.59,.59,.24,.31,.37,.35,.52,.54,.65,.55,.66,.31
1999,.37,.27,.36,.10,.16,.37,.42,.32,.37,.28,.21,.14,.28,.30,.33,.20,.37,.29
2000,.11,.21,.25,.23,.16,.35,.36,.38,.41,.25,.41,.28,.29,.27,.15,.22,.36,.36
2001,.33,.41,.34,.41,.46,.54,.55,.30,.47,.40,.47,.45,.43,.41,.34,.40,.46,.45
2002,.51,.42,.64,.65,.77,.38,.57,.52,.65,.55,.40,.47,.54,.54,.46,.69,.49,.54
2003,.56,.60,.53,.50,.49,.42,.49,.43,.47,.47,.40,.52,.49,.49,.54,.51,.45,.45
2004,.49,.53,.39,.51,.22,.42,.03,.35,.42,.52,.48,.57,.41,.41,.51,.37,.27,.47
2005,.55,.48,.54,.41,.48,.52,.49,.50,.54,.57,.43,.52,.50,.51,.53,.48,.50,.51
2006,.47,.51,.48,.34,.20,.53,.40,.73,.50,.44,.53,.43,.46,.47,.50,.34,.55,.49
2007,.57,.50,.49,.47,.66,.56,.55,.47,.53,.34,.36,.21,.48,.49,.50,.54,.53,.41
2008,.26,.16,.35,.42,.39,.38,.60,.34,.65,.49,.42,.43,.41,.39,.21,.38,.44,.52
2009,.47,.36,.48,.51,.66,.61,.79,.66,.59,.53,.75,.68,.59,.57,.42,.55,.69,.63
2010,.69,.73,.74,.56,.58,.52,.39,.48,.56,.54,.41,.39,.55,.57,.70,.62,.46,.50
2011,.42,.40,.41,.45,.40,.48,.69,.77,.38,.40,.53,.32,.47,.48,.40,.42,.65,.44
2012,.29,.39,.43,.39,.60,.37,.33,.55,.59,.69,.60,.61,.49,.46,.34,.48,.42,.63
2013,.57,.45,.53,.39,.43,.62,.51,.66,.83,.56,.54,.55,.55,.56,.54,.45,.60,.64
2014,.54,.38,.35,.52,.83,.54,.41,.75,.91,.68,.54,.47,.58,.58,.49,.57,.57,.71
